step, bsf, mean_fitness, std_fitness, min_fitness, max_fitness, sq_disance_diversity
0, 91.77237888630937, 8.429997011832276, 26.06215421666625, -5.981414211254481, 91.77237888630937, 1.7417882925089618e+16
1, 92.51240366476762, 43.72437486765166, 39.304790298431065, -6.302618975744904, 92.51240366476762, 1.6542638701536278e+16
2, 92.92700044143626, 51.7799058451975, 40.72913538150832, -5.8916442118257715, 92.92700044143626, 1.5358723302378766e+16
3, 92.92700044143626, 58.298251003637894, 39.060648283424264, -6.018593214496234, 92.92700044143626, 1.3246753520171788e+16
4, 92.92700044143626, 69.53764645213633, 35.48256854199354, -5.796057750765372, 92.92700044143626, 9549976470568916.0
5, 92.92700044143626, 85.85066572826355, 21.356882597508882, -5.950642552587727, 92.92700044143626, 4431820871953066.5
6, 92.97611947915372, 78.88030128692145, 28.98279197783879, -5.796057750765372, 92.97611947915372, 6010823848460684.0
7, 92.97611947915372, 75.3480943639781, 32.40885220144175, -5.87493073085203, 92.97611947915372, 6979269696444070.0
8, 92.97611947915372, 81.56776835556565, 27.715024757997657, -5.831882477283517, 92.97611947915372, 7359078060139316.0
9, 92.97611947915372, 86.02288441396404, 23.799771171118664, -5.796057750765372, 92.97611947915372, 2630684728352865.0
10, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 665903886783.5608
11, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 665902998310.4747
12, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 339886797687.0762
13, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 171678651784.83905
14, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 123319.02979657316
15, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 137244.90980719595
16, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 146920.15170618988
17, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 158483.8733685473
18, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 169811.7168842247
19, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 182148.70605921766
20, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 194370.90876294026
21, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 203799.83833372907
22, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 216662.84166041698
23, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 226687.80880381918
24, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 236005.0460669082
25, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 242965.154047955
26, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 253879.4318615342
27, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 265050.8234983808
28, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 277686.2869908373
29, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 292287.46252824424
30, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 300329.0817235529
31, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 312433.6904923437
32, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 324947.5971638081
33, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 333521.42424071074
34, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 345940.43911242794
35, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 356969.8086230599
36, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 369189.12950420106
37, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 382145.31848522875
38, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 394219.39529261173
39, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 402686.7609101881
40, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 414816.6476002962
41, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 427567.69990095525
42, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 430311.84157939453
43, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 439649.9819345455
44, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 453643.1366734391
45, 92.97611947915372, 92.9761194791537, 2.842170943040401e-14, 92.97611947915372, 92.97611947915372, 470403.24636978965
