step,bsf,mean_fitness_classic,min_fitness_classic,max_fitness_classic,mean_fitness_custom,min_fitness_custom,max_fitness_custom,sq_distance_diversity
0.0,-105.42292654449196,-4.100028258204624,-15.152474754863619,27.764580697972583,-210.34847423326246,-256.16920306225296,105.42292654449196,106255.14677396807
1.0,-105.42292654449196,-0.6819039929914128,-8.457190416357154,21.30422033531076,-157.67422078332814,-248.8057657121917,91.66995580683601,93882.89089288362
2.0,-105.42292654449196,2.7122735761588914,-12.37915718133803,27.243936823060302,-126.44435177165592,-254.02726901676505,91.63038479761528,89955.73617846929
3.0,-105.42292654449196,5.987208450344179,-17.23311338568648,27.74722367777619,-100.07778765851948,-259.0104995842954,98.48285412029512,85568.76165492955
4.0,-105.42292654449196,10.197961781138098,-11.272147577295481,32.88359266716542,-77.35281183795956,-254.81332346782418,95.67625734299114,83668.40173317822
5.0,-105.42292654449196,10.888978829253231,-8.523639090044048,27.4613739916838,-68.34567227057289,-248.74439541105275,100.73157602294745,81546.59074237906
6.0,-121.0198725321052,15.502030960760361,-12.672038511569948,42.335209520671256,-31.590480805517217,-253.56407058872276,121.0198725321052,80497.99244397873
7.0,-121.0198725321052,14.490369175513772,-6.867613596284519,29.324330289500857,-41.48547290012925,-246.95743824306018,104.50149731053841,79935.4379639867
8.0,-121.0198725321052,16.299309167230046,-6.915222920482887,31.673291631321096,-24.403469435153784,-247.05302181618984,109.09517058460851,80885.71948387162
9.0,-123.40766592209958,15.265101491409277,-6.797687545097434,46.19834660617951,-39.844314925181614,-247.048397618314,123.40766592209958,81217.43090129195
10.0,-185.65752587282452,17.52755650330668,-11.177012116150959,31.315621188602407,-17.76219373488602,-252.00036531315723,185.65752587282452,80937.31087923012
11.0,-187.7733271474092,16.863098523581847,-6.725333048118527,35.47117841489003,-14.81909120288431,-246.84004311321507,187.7733271474092,80298.45076134676
12.0,-187.7733271474092,16.713788726876412,-11.172904166076632,40.82969630440709,-23.24296317836461,-251.76074437838759,181.22928949452003,81381.14482799782
13.0,-189.8750579908753,18.21612322325184,-7.861048009788625,35.13571836577435,-10.200677416716472,-248.0793465546901,189.8750579908753,80030.5885299703
14.0,-189.8750579908753,16.13092885440934,-6.866134425412415,35.60049572388547,-29.41716171808283,-246.9956216950207,113.33968131649505,79862.88071487038
15.0,-195.59470696484595,14.480774750309745,-11.138947676179306,38.918781085468325,-46.74286531624941,-252.57582247777353,195.59470696484595,79996.81467534121
16.0,-195.59470696484595,14.9357383823347,-13.869975728917925,38.257901217141836,-41.956623156589785,-247.63044169876628,183.225414180108,80305.10616896678
17.0,-195.59470696484595,15.84642576015923,-9.096803145541811,43.35839610214651,-32.64863206024515,-249.61225297335523,121.14392422071295,78882.66875478007
18.0,-195.59470696484595,15.76376711462873,-7.7923263186700105,34.26391682607859,-22.420862271943207,-247.97745358118968,191.26403498787323,79562.64271533192
19.0,-195.59470696484595,15.423795628067978,-15.066229003034067,42.01869747392324,-20.605438034604425,-246.84607695895357,187.2556444335593,80419.54041812697
20.0,-197.0585623194339,16.90818718093289,-11.47323016912959,40.14919640776481,-20.617414975704722,-249.23875274941767,197.0585623194339,79530.45697405934
21.0,-197.0585623194339,16.796523753301425,-6.821522133334335,43.911475578449156,-23.980472661313023,-246.9431576949098,196.34663024040702,80018.81694446683
22.0,-197.0585623194339,17.012389492248047,-6.8407735262490785,43.08361375606347,-14.983490470859671,-246.9195501488354,188.45554923110353,80265.43694421274
23.0,-197.0585623194339,16.75037824877989,-6.974414317272617,42.58643680646575,-22.44718377132534,-247.0339148835374,193.30347045653693,79652.78219073912
24.0,-197.0585623194339,16.499597837852445,-10.44718459787871,39.44203063618987,-22.23447980878029,-247.68767799356803,190.21577348128028,82010.1218217375
25.0,-200.98377151122332,15.420461175825332,-16.469259054796016,43.11179730691832,-23.81540738972085,-258.30327537182916,200.98377151122332,81416.25670910042
26.0,-200.98377151122332,17.070719592317353,-19.004153532111324,41.974254767459634,-15.021081612798618,-246.84570210350296,195.90151058230032,82303.66683104243
27.0,-272.6247008005564,14.991360907186579,-8.068963909606808,52.25972460763873,-34.06448787341121,-248.75972572170136,272.6247008005564,83359.97902197554
28.0,-272.6247008005564,15.653685794476479,-13.19034101169991,48.3999789470068,-30.45825933650104,-247.17648754807243,205.7405113350221,84204.22035707574
29.0,-272.6247008005564,16.391223546753867,-17.52535933506588,47.63192599859978,-22.386906185820717,-247.1772696373029,200.51852827226259,85261.95483413585
30.0,-272.6247008005564,15.23873207689851,-11.86999809318649,47.74929798191214,-25.1722331944193,-253.62996869357374,201.5662331990129,84683.53151046697
31.0,-272.6247008005564,18.651364870654792,-19.32385010907562,44.82235586670244,5.95151961504002,-247.1908799881787,199.14272504635437,84976.84388270344
32.0,-272.6247008005564,17.310475649700745,-11.814700747534271,44.287162824060985,-15.425725638475662,-252.50804168915306,200.91769529541403,85744.50374782573
33.0,-272.6247008005564,21.77876986303643,-7.093043070100441,43.63208783395886,27.603705919629846,-247.40455304135892,247.1406106497899,88141.64588683235
34.0,-272.6247008005564,19.68336753138405,-16.48140310305984,44.35707565822213,4.448692018260598,-251.3636366726543,201.4024983274213,87873.93693206702
35.0,-272.6247008005564,20.010050389248626,-12.669585287960704,42.004741960184916,10.248421610755168,-247.1000000453088,198.34876557646584,88633.31035713521
36.0,-272.6247008005564,18.55892756781477,-16.158965749204874,45.852999919329065,6.796058011719358,-246.97383964568246,202.12300418029847,87497.86894905093
37.0,-272.6247008005564,19.892060752325044,-7.049833913203078,53.7875655698018,1.9392464761837434,-247.12051619761186,211.3545404715241,90778.16469622808
38.0,-272.6247008005564,17.69852734869253,-9.313552797290427,46.10141477043787,-1.8180092862140846,-249.17851345913738,203.13794525970357,91106.31006149288
39.0,-272.6247008005564,21.916765495236685,-4.291523939791482,43.89360076599267,28.263170460231066,-245.26955421182834,200.1088579154426,89369.60597868092
40.0,-272.6247008005564,21.841982014539482,-11.584004175224242,44.32893939777156,38.67509107530071,-252.30993756853954,202.38808828906005,92393.73765721961
41.0,-272.6247008005564,21.658457489064922,-7.093043070100441,44.74650441849839,34.20670436010464,-247.31051038007155,202.05211868351762,93183.12282444657
42.0,-272.6247008005564,20.512033198911595,-10.267715855306989,44.31452246645418,15.240167390442927,-249.73021620023562,200.18178179125454,93383.81903032577
43.0,-272.6247008005564,24.784330160078934,0.9667144309358875,49.15697768986729,62.190226430388066,-159.67821064130624,207.20043200740596,93898.29844115322
44.0,-272.6247008005564,23.031429063722154,-10.32082335437703,43.15523509338255,41.77157596033249,-251.74965364464563,194.93088867407752,92924.93798495087
45.0,-272.6247008005564,24.218156287688206,0.6664020070667718,48.44041901935279,52.75940024690463,-159.3208665855531,206.178926015593,92031.93720315362
46.0,-272.6247008005564,23.509000999064867,0.9044013101421555,48.67915901651435,40.86403507709045,-166.7483207735342,201.59767171147644,92576.28162553611
47.0,-272.6247008005564,25.234996089048735,-1.133489083946202,46.013125873361844,53.58798600256779,-164.9252136055355,197.9657699155906,91459.4534880321
48.0,-272.6247008005564,25.328439006470532,-2.8539721737160058,52.500362430519445,56.27832972459655,-165.76491224455765,203.9546191427384,93040.20869449244
49.0,-272.6247008005564,23.041381557967835,-10.822356471919687,43.10134455191594,41.88050477472304,-252.5096727256127,196.34311170754646,91584.6587103865
50.0,-272.6247008005564,25.418057350631464,-6.381334830005603,51.15634517586686,55.127312076519985,-247.21952331659764,201.91705797399447,92492.4020022736
51.0,-272.6247008005564,25.716160714911055,0.6452128122926055,43.490923284809305,63.58539185342306,-154.86242008731278,200.26847500392873,93588.56834436601
52.0,-272.6247008005564,25.368394460891537,-6.266200586921631,48.632649611462575,63.01064352450612,-246.332641352757,201.93127788366257,94669.78506414156
