step,bsf,mean_fitness_classic,min_fitness_classic,max_fitness_classic,mean_fitness_custom,min_fitness_custom,max_fitness_custom,sq_distance_diversity
0.0,1.2377028491852222,-6.823279951971725,-14.549238027252327,-1.2377028491852222,-7.106269819930921,-15.561887411515555,-3.4150806022349123,4065.372069032049
1.0,-13.65368936687198,-5.1741794189926695,-8.973298277890311,13.65368936687198,-5.950064863206786,-9.76319339111225,10.696952617556256,3920.561175484574
2.0,-13.913004515984348,0.8273720438739582,-7.41666304206203,13.913004515984348,-1.104781723246536,-8.647478194504643,9.862983984318738,3811.672226186365
3.0,-20.738461956213442,4.196318450769394,-6.469423433355279,20.738461956213442,1.4490222586849315,-6.567774802002475,16.736822604787644,3626.622078364996
4.0,-20.738461956213442,6.04715581360607,-9.97661987544971,17.65842838994429,3.7837075424372744,-11.294017283915469,14.064561427054208,3555.4595913089615
5.0,-20.738461956213442,6.465693851965355,-6.469423433355279,15.498059711881083,2.7588617622328044,-8.66169111699772,11.54359388483401,3333.014366801902
6.0,-20.738461956213442,7.353007789146484,-7.068458262387683,13.65251391279444,1.8584859857010105,-9.573125483254824,7.038849168813499,3320.7393276505018
7.0,-33.83981877098115,8.018542161920589,-23.485221120271444,33.83981877098115,2.3122774923304545,-25.579753658202524,27.500549280100266,3365.1633769185228
8.0,-37.346447502239116,13.588346925606476,-6.146561232349621,37.346447502239116,8.608814216945177,-6.331715366749826,32.10294477167281,3159.9486597529967
9.0,-37.346447502239116,4.073969649954508,-9.115637700891856,29.553045682008147,2.2291923926945154,-9.589979085749972,26.864101012165197,3002.8642388756566
10.0,-38.39299325715881,13.826312970359961,-7.806596587888883,38.39299325715881,11.31160898466548,-9.771203624358872,35.75491204120773,3127.5881102132917
11.0,-38.39299325715881,13.217750309056814,-5.699670745447037,33.224677001847624,7.077486249618829,-3.2397640562985472,27.103128621820552,3051.5332726646825
12.0,-38.79013536375614,13.49342064112184,-6.0098123302286215,38.79013536375614,7.256667725978661,-6.855895819504973,30.754063611755793,2896.8236817719744
13.0,-38.79013536375614,7.165972332021037,-9.370931018962484,29.911525058379965,1.2455062683446774,-12.275095048488726,18.913200669962464,2908.4428432692275
14.0,-38.79013536375614,13.916741155595881,-6.0098123302286215,30.40121747901349,9.146574046053276,-6.079720096123314,26.203675030330118,2923.4266902600016
15.0,-38.79013536375614,15.01262340796788,-7.884684246350844,35.805470872963824,12.729533691173904,-8.80140995858101,33.71918981835387,2793.7656065071715
16.0,-46.29391109388425,17.34974611758676,-6.0126191525368995,46.29391109388425,14.34944106227143,-7.810155246324355,43.31207552205409,2820.4476913552744
17.0,-46.29391109388425,21.035858396534554,4.409242784129425,32.72745259538387,15.321646218413596,-1.3105737929071921,25.667632779461897,2800.779706008874
18.0,-46.29391109388425,21.88395421619552,-2.557611483767701,38.341150248163544,12.11118424536142,-8.914395462175438,27.241750174582208,2818.1001680205754
19.0,-46.29391109388425,22.24804903744029,4.409170390464432,42.90363006570386,12.893445780362564,-1.8376673327185387,33.419671403865806,2709.2088667970647
