step,bsf,mean_fitness_classic,min_fitness_classic,max_fitness_classic,mean_fitness_custom,min_fitness_custom,max_fitness_custom,sq_distance_diversity
0.0,5.294457922939813,-6.370559155298467,-18.371933834949836,12.035177061810074,-89.55265183218262,-110.05457203107798,-5.294457922939813,105603.63570781567
1.0,5.294457922939813,-4.7938641024581985,-18.506436896324235,16.661217835236137,-85.14074045712194,-114.18680896826805,-8.80282315902965,93571.86220849612
2.0,3.7323792681334425,-5.646163345219158,-18.313932624660474,19.15176867922863,-83.65489761869296,-114.24946864969439,-3.7323792681334425,87768.9594950573
3.0,3.7323792681334425,-5.186079770880696,-18.531306475486133,12.024373857108408,-78.75474229704804,-113.36937407519127,-8.24418708421993,81511.65268914605
4.0,3.7323792681334425,-1.6182789960993142,-18.331991439253184,12.465064185383405,-71.72218492913986,-114.18680896826805,-8.840916261074582,80344.35919635711
5.0,-1.0367097522398225,2.402730014291497,-18.313932624660474,20.934867616562222,-58.95865545471981,-114.18680896826805,1.0367097522398225,78790.42807498586
6.0,-1.0367097522398225,5.146652158100564,-11.952270283876484,18.86286379120684,-47.527813131650035,-114.29453710686447,-6.744137792163713,78105.20428408473
7.0,-1.0367097522398225,7.473090925453729,-11.862299439322232,12.024373857108408,-32.67533509947625,-114.18680896826805,-8.828893662656533,76472.37154232878
8.0,-4.944475775873073,6.322222374706846,-11.919413316188336,24.7725517884382,-40.223039094582376,-114.25519076696042,4.944475775873073,77861.00283632099
9.0,-4.944475775873073,8.982438438888614,-11.887432729740684,25.107958881780426,-25.653833783218225,-114.21689884842242,1.356441749475664,76267.20015895595
10.0,-4.944475775873073,8.697399672902428,-14.041343252641514,21.159895702723926,-24.664668314750575,-114.57607681672513,-9.018679669529902,76595.30636401882
11.0,-4.944475775873073,8.500123423748938,-13.392409179690002,20.909884395143163,-26.42309292487459,-114.18680896826805,1.011405434966079,77747.65820674965
12.0,-4.944475775873073,7.6779640401268185,-13.955765970069212,16.853953817175526,-31.64763278723811,-114.20513759545796,-8.859156962307168,78583.37213838089
13.0,-4.944475775873073,9.282919669917762,-11.862299439322232,11.935524725971725,-21.692888964546086,-114.18680896826805,-9.018679669529902,79896.7543191204
14.0,-4.944475775873073,9.366282856684741,-11.862299439322232,11.935524725971725,-22.6189565421936,-114.18680896826805,-9.018679669529902,80193.06331581224
15.0,-4.944475775873073,8.332188757559036,-11.939015268353746,16.641416837002684,-25.752889831710355,-114.27788194624588,-3.6398533363140118,80630.85828028043
16.0,-4.944475775873073,10.40644630143763,-11.952270283876484,12.756080933216946,-17.220063461847612,-114.29453710686447,-9.018679669529902,83196.46389896766
17.0,-10.061304235282108,10.183645682250294,-13.413892233145933,30.59242610998285,-17.581574815863835,-114.18680896826805,10.061304235282108,85910.05164063185
18.0,-10.061304235282108,10.858998498483315,-11.862299439322232,28.033751642548932,-16.96224636082228,-114.18680896826805,7.967196149537422,86412.42981982994
19.0,-10.061304235282108,10.318102929919155,-11.862299439322232,21.14822432344202,-20.40528526467205,-114.18680896826805,-9.018679669529902,89823.10236979752
20.0,-10.061304235282108,10.974719159193368,-11.867974588147096,16.661246111140724,-13.75785493322217,-114.19360306055555,-3.5181328095829514,90536.09751741032
21.0,-10.061304235282108,10.303224133406884,-11.862299439322232,12.36360648567874,-16.173875769899528,-114.18680896826805,-7.870230412169775,92364.7369991513
22.0,-10.061304235282108,9.76361872085814,-18.313932624660474,24.888194436460875,-19.074180834906095,-114.21689884842242,5.057001527176126,94024.02880697112
23.0,-10.061304235282108,9.026644245002194,-13.891678285444446,21.312526221399235,-19.810688070517006,-114.27361289948043,1.0519339087751547,95127.10666886038
24.0,-10.061304235282108,10.34513751697755,-13.186746136228255,23.235054655730597,-19.461943982098536,-114.18680896826805,-9.018679669529902,95244.04474547712
25.0,-10.092799793463229,11.150844073534422,-11.962035105139474,30.638943522252337,-13.518895247103092,-114.30623150815295,10.092799793463229,94116.00316230458
26.0,-10.092799793463229,10.080970494266257,-13.271191756873304,24.876815797422402,-21.832928670948917,-114.18680896826805,4.25772843000005,95180.42341118718
27.0,-10.092799793463229,10.12854741192647,-13.966435819516729,11.939006547011743,-16.34039509140514,-114.30040757827517,-9.014626122468385,95020.51954519885
28.0,-10.092799793463229,10.198724005057905,-11.881936163424914,13.48643938454289,-23.7272070012508,-114.21031803390738,-9.018679669529902,95561.61956512822
29.0,-10.092799793463229,10.08278706330052,-11.862299439322232,28.00329593167066,-23.084151761224398,-114.18680896826805,7.938928411090366,95448.03049459695
30.0,-10.092799793463229,9.748944113276178,-11.862299439322232,18.283270202072053,-22.956320240252673,-114.18680896826805,-2.851312854890317,95733.70700041781
31.0,-10.092799793463229,10.23667483627784,-13.988081145647083,16.5087906689375,-16.86562786310084,-114.18680896826805,-3.789054758325719,95004.9898353469
32.0,-10.092799793463229,9.52480258265015,-13.926363789296161,30.5982408575751,-20.794019307320198,-114.18680896826805,10.065690823456094,96878.67478237447
33.0,-10.092799793463229,10.075200130937873,-13.263755587109387,24.696358579805192,-19.968861325854018,-111.71942673411415,4.851587650151515,97220.47572710746
34.0,-10.092799793463229,9.281658704251619,-13.919905027033682,17.75507825667409,-23.715237707982425,-113.79551192989753,-3.249693522436317,97585.66340561265
35.0,-10.092799793463229,10.757793494156141,-13.263755587109387,30.651839266903234,-16.428869042258597,-114.18680896826805,10.02616367631451,97748.8109499753
36.0,-10.092799793463229,8.42532989733919,-13.263755587109387,30.599714595301297,-20.50150029954113,-114.18680896826805,10.066802285578383,95734.48291286684
37.0,-10.092799793463229,10.149727371480056,-16.628213576070326,24.858913444377315,-17.796047785335187,-119.28037551897717,5.028542433096582,96542.46308231575
38.0,-10.092799793463229,8.592365753594567,-13.236497096619782,20.959434106360597,-21.948103595120852,-114.22885723308558,0.6750330411726608,95756.99930168703
39.0,-10.092799793463229,10.988495017994355,-13.263755587109387,30.599714595301297,-13.22711418022186,-114.18680896826805,10.066802285578383,95292.81612371099
40.0,-10.13188893772692,8.713137312622536,-16.654726233399465,30.686310711489668,-24.060915833666726,-119.31126865742425,10.13188893772692,96234.8447880536
41.0,-10.13188893772692,8.963609232972491,-13.965958048104365,20.94177019664231,-17.868211491276163,-114.17092731420628,0.6578807544490886,94746.2056836379
42.0,-10.13188893772692,9.615104911184515,-13.263755587109387,20.93684647782389,-17.064079630263922,-114.20894591876306,1.0398903943668003,95925.74485564622
43.0,-10.13188893772692,8.661831672808143,-18.76429893338293,30.600454533827886,-22.02802801632612,-114.18680896826805,10.067360284252878,96053.14005322017
44.0,-92.3092519995602,8.099911332200083,-13.263755587109387,34.311172488008125,-24.98126996949194,-114.2796523205357,92.3092519995602,95777.20151821573
45.0,-92.3092519995602,9.211862133670428,-13.263755587109387,28.012671614557625,-19.71230864704703,-114.18680896826805,7.949615930368488,95434.56442204886
46.0,-92.3092519995602,9.106296674591341,-13.32900699176031,21.044727784045506,-20.04014585924127,-114.18680896826805,1.1537368004787822,93506.17643796474
47.0,-92.3092519995602,10.828342695515387,-13.263755587109387,30.636081380108582,-14.226612401366843,-114.18680896826805,10.094189378044213,92164.65722393166
48.0,-92.3092519995602,9.023970814847377,-13.263755587109387,28.76108102051827,-22.970766692096145,-114.26138297466566,7.949615930368488,93564.76675946134
49.0,-92.3092519995602,7.840764261051836,-13.263755587109387,24.89722979741839,-25.151771142960005,-114.18680896826805,5.0657787760494415,92966.45993635466
50.0,-92.3092519995602,6.707742920674064,-13.537389968360156,30.599714595301297,-29.11015044904964,-114.19538483472786,10.066802285578383,92821.70686927762
51.0,-92.3092519995602,8.653620772383437,-13.412284303652122,30.63778134421413,-22.059740299854965,-114.18859078707644,10.09546770172588,91460.13371618211
52.0,-92.3092519995602,6.004871326060095,-18.51502594083317,34.29805744083084,-24.334707262926116,-114.18680896826805,92.2752014275766,90537.02930576366
53.0,-92.3092519995602,11.159413991881602,-13.923112398072565,32.69917457073936,-15.409563445568613,-114.18680896826805,11.497785867195255,88791.01750731644
54.0,-92.3092519995602,8.783897451935074,-13.263755587109387,24.828532127688888,-24.972938813601203,-114.18859078707644,4.998990419571292,89107.0387750589
55.0,-92.3092519995602,7.282791936034922,-13.263755587109387,28.031562876297336,-23.643845488857018,-114.20894591876306,7.9661208563979855,89982.43314325911
56.0,-92.3092519995602,6.836762665345885,-18.313932624660474,30.68426973354335,-25.613221525491017,-114.18859078707644,10.130359976312683,91219.6431252356
57.0,-92.3092519995602,9.597912969522366,-13.263755587109387,30.60194060817101,-17.99181526847178,-114.18680896826805,10.068480859192029,89051.03760925846
58.0,-92.3092519995602,8.109355486611898,-14.099432186319774,30.645569019417895,-21.12999138355383,-114.18680896826805,10.101321648305685,89667.3805248541
59.0,-92.3092519995602,8.435357838865492,-13.263755587109387,32.69611288103293,-20.05193646607341,-114.18859078707644,11.495968362358262,90487.70385042185
60.0,-92.3092519995602,8.377231920794209,-18.546882070283406,30.600454533827886,-21.00975887105468,-114.28143352640315,10.067360284252878,89971.93810828592
61.0,-92.3092519995602,8.79650364949078,-14.183619323514852,32.69309754988334,-22.94302927295995,-114.18859078707644,11.494177425445663,88512.80738305308
62.0,-92.3092519995602,9.905602709871578,-13.186746136228255,30.688367604807976,-20.13598443864012,-114.20513759545796,10.13342957308631,87769.38560281228
63.0,-92.3092519995602,11.438882907642235,-13.186746136228255,32.695354758204275,-19.076178332098326,-114.18859078707644,11.49551816893149,87636.20999962733
64.0,-92.3092519995602,10.01095539140758,-13.186746136228255,32.68939144062632,-15.939402729297205,-114.18859078707644,11.49197491290137,89546.06854253385
65.0,-92.3092519995602,12.913668954674765,-13.384217920117248,30.694636346833292,-9.627982568733294,-99.02473169539066,10.138123387233705,88385.09648437327
66.0,-92.3092519995602,11.890942919726847,-13.338402509569676,28.042014427792104,-14.463820161155956,-112.90758473493942,11.06007067533001,92637.23123713113
67.0,-92.3092519995602,12.544490009113963,-13.186746136228255,34.26077301353548,-10.9046784006399,-114.18859078707644,92.26222625801864,93251.59726851028
68.0,-92.3092519995602,12.006641439451755,-13.401665763484583,32.70306912735228,-12.33526249456826,-114.2796523205357,11.500096376200588,93286.55440474588
69.0,-92.3092519995602,10.480550717799733,-14.099432186319774,30.69148334316178,-16.357145095920906,-114.28143352640315,10.135762818938133,94045.6380083421
70.0,-92.3092519995602,11.946549848852474,-13.537989279486347,32.69611288103293,-15.338088960591126,-114.18859078707644,11.495968362358262,94359.8492027552
71.0,-92.3092519995602,11.916730271226315,-14.09998590948253,32.695354758204275,-13.170884083505916,-114.18680896826805,11.49551816893149,93179.47582413588
72.0,-92.3092519995602,12.90862546479663,-13.186746136228255,32.695354758204275,-11.30974084852116,-114.18859078707644,11.49551816893149,92623.45745628806
73.0,-92.3092519995602,13.774394787259904,-13.186746136228255,30.688367604807976,-9.544671175071542,-114.18680896826805,10.13342957308631,92301.15653235634
74.0,-92.3092519995602,12.09799239251819,-13.503698364072239,30.68426973354335,-11.36498076384002,-114.18680896826805,10.130359976312683,91135.99199280699
75.0,-92.3092519995602,12.549846167475483,-13.429553539740407,32.69687390094196,-12.47365127881277,-114.18859078707644,11.496420216097349,90014.12931090777
76.0,-92.3092519995602,13.214475106516149,-13.373806733850564,32.69611288103293,-10.241757607994932,-114.18680896826805,11.495968362358262,89628.76069914617
77.0,-92.3092519995602,13.21076243989833,-13.537389968360156,30.682244423044327,-13.811646813730851,-114.18859078707644,10.128842508928777,89296.21237128688
78.0,-92.3092519995602,12.954815733799226,-13.131438787545694,32.68865841558085,-10.924542250709116,-114.18680896826805,11.491539113034555,88249.26000125645
79.0,-92.3092519995602,15.28268625357525,-11.862299439322232,32.695354758204275,-8.568849084480588,-114.18680896826805,11.49551816893149,87210.56782690024
80.0,-92.3092519995602,14.378297984830647,-13.428328124555645,30.705704047734912,-8.899246933609291,-114.2796523205357,10.222050383445428,86319.320978428
81.0,-92.3092519995602,15.970264862853009,-13.186746136228255,34.25286950558565,-4.724929215901285,-78.87782479688595,92.25943292115433,85062.0882052021
82.0,-97.09296702994683,13.822447960819376,-13.263755587109387,34.26077301353548,-6.496822846692339,-111.13007057985456,97.09296702994683,84188.28100778487
83.0,-97.09296702994683,16.267993424054193,-13.186746136228255,34.27651825412093,-5.16194846320792,-114.19021387936947,92.26774664295401,84512.1798743105
84.0,-97.09296702994683,14.915690302300959,-13.537389968360156,30.694636346833292,-5.968363353600515,-37.66890119795311,10.138123387233705,82682.36895467374
85.0,-97.09296702994683,15.191699708541131,-13.428328124555645,32.695354758204275,-7.561274219093162,-115.082353640276,8.486999409890188,81889.98621110874
86.0,-97.09296702994683,17.286335967272205,-13.263755587109387,30.692530159260706,-3.2677710882566133,-37.11708886869607,10.136546606909626,81943.21593309
87.0,-97.09296702994683,15.469876611174755,-13.186746136228255,32.69611288103293,-7.474233651540795,-114.75543686598438,10.138350646825401,81410.68556210244
88.0,-97.09296702994683,15.481136032767543,-13.186746136228255,32.69611288103293,-5.361594648896661,-37.02511632564199,11.495968362358262,81668.03409543914
89.0,-97.09296702994683,17.38855157006678,-9.65648497127625,32.69611288103293,-4.589523340465737,-106.06987656490251,10.138350646825401,79702.30483621744
90.0,-97.09296702994683,16.706472666440806,-13.263755587109387,34.25286950558565,-2.8358155374520195,-113.58652657062527,92.45611453559422,80628.58641766907
91.0,-97.09296702994683,15.792425390082865,-13.263755587109387,34.26077301353548,-4.200624204098829,-37.11708886869607,92.26222625801864,80892.26739687494
92.0,-97.09296702994683,16.748899307378917,-13.537989279486347,32.692782880363765,-4.572237377403416,-38.31521158102997,10.135117419984091,80191.37095108046
93.0,-97.09296702994683,15.918441915920159,-13.189570886606333,34.22903514810187,-5.24936480525894,-37.97732379694982,88.77991832085624,79476.52948660063
94.0,-97.09296702994683,16.09220810070045,-11.861473391500692,34.26077301353548,-5.482235484702267,-114.75180334164756,90.71074439789629,81275.85631671014
95.0,-97.09296702994683,17.069900805234997,-9.460384442038702,32.69763784055592,-3.655256468706767,-33.98660880049813,11.496873742874882,82379.89852650849
96.0,-97.09296702994683,18.111407376948545,-5.1618297398274535,34.26865592185088,-1.768131794873527,-30.558012859433333,84.74855076875693,81725.59429916262
97.0,-97.09296702994683,17.004764456376794,-13.401665763484583,32.687928075213556,-3.4741575754092486,-36.2614149778774,6.178071986505991,83537.23753800374
98.0,-97.09296702994683,16.19049251390661,-13.428328124555645,32.69763784055592,-6.394909504943124,-114.9570600361908,9.333660525006437,84153.87910263595
99.0,-97.09296702994683,18.414255456913708,-5.1618297398274535,32.68865841558085,-2.058113471139212,-29.662802644676898,11.491539113034555,85826.88691126413
100.0,-97.09296702994683,20.231561233169437,-5.179412449529337,34.29218128490085,-1.4028826988875156,-101.85314684103253,85.80424175804664,86544.54694562382
101.0,-97.09296702994683,17.159370033099687,-8.031315494776834,32.69611288103293,-3.475571006212474,-105.31111868296128,11.480422391530517,88397.04647056319
102.0,-97.09296702994683,19.491365907165928,-5.1618297398274535,32.69687390094196,-0.10135056793082015,-27.163598076216445,12.031845228577886,86785.11656767756
103.0,-97.09296702994683,17.445643524083675,-5.167186370077523,34.26077301353548,-2.525377218536755,-31.149519887715705,85.81745906517178,86754.76542768505
104.0,-97.09296702994683,18.731553049166934,-8.022189650022261,32.699947407913335,-3.2764972148121108,-105.0299968500612,6.17800844886272,86981.34088506715
105.0,-97.09296702994683,18.365018088755566,-5.200092345579435,32.69763784055592,-3.679086079968776,-95.9660941720777,12.032328269281656,87983.6011268362
106.0,-97.09296702994683,18.383312845234986,-5.18300483939214,32.69763784055592,-2.540555637679977,-98.971076070637,10.288216260774718,88476.74868017281
107.0,-97.09296702994683,19.51970100663147,-13.186746136228255,34.26077301353548,-0.4608173721580207,-68.67146551736838,91.60799367039871,86869.19399133114
108.0,-97.09296702994683,20.63741195960351,-13.186746136228255,34.26077301353548,3.939084541115588,-32.58500250694767,95.83784078480073,88168.9229560738
109.0,-97.09296702994683,18.079002721708626,-8.27537782860414,34.27651825412093,-2.39584304365026,-106.44373858739449,90.7141013675658,87321.33452181594
110.0,-97.09296702994683,21.28562973527643,-5.1618297398274535,34.25286950558565,2.46611439557935,-27.163598076216445,92.86099370228652,88611.5609132825
111.0,-97.09296702994683,18.58339475991302,-13.263755587109387,34.26077301353548,-0.26749017543889186,-36.01186101464533,85.82399910265634,87791.18788943725
112.0,-97.09296702994683,20.212111237067074,-5.184453485427682,32.69763784055592,-0.9446673462615044,-30.516688195694286,10.139083475493827,87656.79193523806
113.0,-97.09296702994683,19.932175465091895,-5.168635295598769,34.244945374416474,-0.5614444190572123,-31.150310722383573,85.82399910265634,88256.7237249132
114.0,-97.09296702994683,18.46109542207531,-5.16472319556118,32.699947407913335,-2.492677031452426,-31.1432378991717,6.178135216431194,89138.06252160882
115.0,-97.09296702994683,19.68463470486215,-13.414781660518639,34.27651825412093,-0.1566573672446524,-36.31120463029099,85.81087321237251,89528.66707165992
116.0,-97.09296702994683,19.978970138302156,-5.1618297398274535,32.695354758204275,-2.081529431923267,-71.44453172307871,9.332737234971603,89126.51866296049
117.0,-97.09296702994683,21.27979968420685,-5.162320314744996,32.69763784055592,3.533946082058651,-22.468465019986915,13.517119880460186,88895.99186474434
118.0,-97.09296702994683,19.081154004236748,-5.16327876001877,32.699947407913335,-1.9546271788587888,-31.142587521627142,6.178071986505991,88392.75027530696
119.0,-97.09296702994683,20.39524398923126,-5.16327876001877,32.699947407913335,-0.30708375553817463,-31.142449257925655,6.178135216431194,88728.33097019076
120.0,-97.09296702994683,20.03923335629455,-5.1618297398274535,34.27651825412093,0.7212297802467788,-31.14165820546392,85.82399910265634,90192.15695592755
121.0,-97.09296702994683,19.384453938242423,-5.1618297398274535,34.26865592185088,0.16534988814714474,-31.14165820546392,85.8369408705721,90518.18750934784
