step, bsf, mean_fitness, std_fitness, min_fitness, max_fitness, sq_disance_diversity
0, 91.77237888630937, 4.361121306426498, 22.116224468639892, -6.625392368007956, 91.77237888630937, 1.7384357053603182e+16
1, 93.1959933129232, 29.748028438295425, 35.93197987149108, -6.107755278982137, 93.1959933129232, 1.6643324338500424e+16
2, 93.52700044143626, 48.51085776391087, 38.83757410526486, -6.025865973825315, 93.52700044143626, 1.5071799867273468e+16
3, 93.52700044143626, 64.84803274069066, 31.577694195043552, -6.478509642208569, 93.52700044143626, 1.4113013095926444e+16
4, 93.52700044143626, 61.59550470675149, 34.76267561401767, -5.971261839790462, 93.52700044143626, 1.3236221250292324e+16
5, 93.52700044143626, 72.20831182838171, 29.679907946237066, -5.863631175598097, 93.06728120673463, 1.1374601892314476e+16
6, 93.52700044143626, 77.8388904467834, 27.275653120506792, -5.783825182329737, 93.06728120673463, 7667349636246512.0
7, 93.52700044143626, 81.26488618800977, 21.827722344755024, 3.2895729826251303, 93.32700044143624, 5300707487102866.0
8, 93.52700044143626, 90.08513403242956, 11.155075062062076, 12.216174817670263, 93.32700044143624, 3765072997029582.0
9, 93.52700044143626, 88.92144642561676, 10.267708336849875, 39.86420156294974, 93.32700044143624, 4616766336753207.0
10, 93.52700044143626, 86.23204756246146, 17.2799923203786, -4.6443908991413725, 93.32700044143624, 4270065882125960.0
11, 93.52700044143626, 91.19688388521878, 5.58885399784293, 39.216174817670264, 93.17065437104556, 3909404280862912.5
12, 93.52700044143626, 93.0574292058449, 0.34863713037048466, 91.77237888630937, 93.17065437104556, 512407722386487.1
13, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 266384769448577.84
14, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 243886390496671.2
15, 93.52700044143626, 93.16188008080195, 0.06142003170529534, 92.73193985886488, 93.17065437104556, 260253340101211.47
16, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 257159707353890.7
17, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 289531637274311.4
18, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 254373258218226.75
19, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 272166929087583.16
20, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 248836344682015.34
21, 93.52700044143626, 93.16626722592376, 0.04365154280961368, 92.73193985886488, 93.17065437104556, 243589849189722.47
22, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 255847163127470.5
23, 93.52700044143626, 93.16626722592376, 0.04365154280961368, 92.73193985886488, 93.17065437104556, 228967937043755.75
24, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 186435310782538.22
25, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 173638867567683.53
26, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 180464772914805.62
27, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 192544974816162.22
28, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 177252426275368.5
29, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 186217765840662.9
30, 93.52700044143626, 93.16626722592376, 0.04365154280961368, 92.73193985886488, 93.17065437104556, 184889921496324.34
31, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 188653138950181.2
32, 93.52700044143626, 93.16626722592376, 0.04365154280961368, 92.73193985886488, 93.17065437104556, 189931599389967.78
33, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 200801161134257.06
34, 93.52700044143626, 93.16188008080195, 0.06142003170529534, 92.73193985886488, 93.17065437104556, 195745150590032.88
35, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 190938403556405.1
36, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 180230395425961.56
37, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 166376057551129.06
38, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 184054684943063.78
39, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 166050577926545.03
40, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 149769005456715.66
41, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 160574432273564.44
42, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 158265421489372.03
43, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 157396960591154.38
44, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 142054175261608.25
45, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 155328183289004.12
46, 93.52700044143626, 93.17065437104559, 2.842170943040401e-14, 93.17065437104556, 93.17065437104556, 154369501651595.22
