step, bsf, mean_fitness, std_fitness, min_fitness, max_fitness, sq_disance_diversity
0, 56.938543081071984, -1.0324513123049008, 10.80013825835264, -6.641182169740591, 56.938543081071984, 1.746064708102569e+16
1, 21.61550493721091, -2.1382825699434638, 7.347151492212229, -6.0112671744041615, 21.61550493721091, 4499981693604114.0
2, -4.59511985013459, -4.730509952359038, 0.22557606481306064, -5.541263545158426, -4.59511985013459, 286656550013621.56
3, -4.624972813284271, -4.630484582477167, 0.05484141103162398, -5.176149732573829, -4.624972813284271, 4347538989257.4893
4, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 320660659.51150817
5, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3833041.79040188
6, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 5906354.110631645
7, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3154251.123150946
8, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3963375.9572552335
9, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 5137737.745240566
10, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2996436.134476944
11, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2847294.33856023
12, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3370147.10591639
13, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 6449200.566496436
14, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2361113.872105704
15, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3553719.94921663
16, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2983967.472161513
17, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3311048.8424989353
18, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2907923.2153615984
19, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 4575445.035551972
20, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3199352.443733923
21, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 4893714.179060636
22, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 4916492.40615574
23, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2367157.7450744435
24, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2190560.4753412064
25, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3195182.7052054303
26, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2521592.9855626
27, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2474768.8401005836
28, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2481695.174722286
29, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2315260.801904646
30, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2731819.9116358804
31, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2407364.479997722
32, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1820562.1046360233
33, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 4037061.5871560695
34, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1712246.6079509621
35, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 4303030.510647844
36, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 4121006.6200645017
37, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3050893.371660554
38, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2740808.010438681
39, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 4375921.897155909
40, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2939099.5963389263
41, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3197222.1401485186
42, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1805651.6807101744
43, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1705630.9264588042
44, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3152552.2777616912
45, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3024245.270685471
